date,league,home_team,away_team,score
2017-05-06,Bundesliga,Bayern Munich,Darmstadt 98,1–0
2017-05-06,Bundesliga,Ingolstadt 04,Leverkusen,1–1
2017-05-06,Bundesliga,Dortmund,Hoffenheim,2–1
2017-05-06,Bundesliga,Hertha BSC,RB Leipzig,1–4
2017-05-07,Bundesliga,Hamburger SV,Mainz 05,0–0
2017-05-07,Bundesliga,Freiburg,Schalke 04,2–0
2017-05-13,Bundesliga,Wolfsburg,Gladbach,1–1
2017-05-13,Bundesliga,Darmstadt 98,Hertha BSC,0–2
2017-05-13,Bundesliga,Werder Bremen,Hoffenheim,3–5
2017-05-13,Bundesliga,Leverkusen,Köln,2–2
2017-05-13,Bundesliga,Schalke 04,Hamburger SV,1–1
2017-05-13,Bundesliga,Mainz 05,Eint Frankfurt,4–2
2017-05-13,Bundesliga,Freiburg,Ingolstadt 04,1–1
2017-05-13,Bundesliga,RB Leipzig,Bayern Munich,4–5
2017-05-13,Bundesliga,Augsburg,Dortmund,1–1
2017-05-20,Bundesliga,Dortmund,Werder Bremen,4–3
2017-05-20,Bundesliga,Hamburger SV,Wolfsburg,2–1
2017-05-20,Bundesliga,Ingolstadt 04,Schalke 04,1–1
2017-05-20,Bundesliga,Hertha BSC,Leverkusen,2–6
2017-05-20,Bundesliga,Bayern Munich,Freiburg,4–1
2017-05-20,Bundesliga,Hoffenheim,Augsburg,0–0
2017-05-20,Bundesliga,Köln,Mainz 05,2–0
2017-05-20,Bundesliga,Eint Frankfurt,RB Leipzig,2–2
2017-05-20,Bundesliga,Gladbach,Darmstadt 98,2–2
2017-05-25,Bundesliga,Wolfsburg,Braunschweig,1–0
2017-05-29,Bundesliga,Braunschweig,Wolfsburg,0–1
2016-08-26,Bundesliga,Bayern Munich,Werder Bremen,6–0
2016-08-27,Bundesliga,Dortmund,Mainz 05,2–1
2016-08-27,Bundesliga,Hamburger SV,Ingolstadt 04,1–1
2016-08-27,Bundesliga,Eint Frankfurt,Schalke 04,1–0
2016-08-27,Bundesliga,Köln,Darmstadt 98,2–0
2016-08-27,Bundesliga,Augsburg,Wolfsburg,0–2
2016-08-27,Bundesliga,Gladbach,Leverkusen,2–1
2016-08-28,Bundesliga,Hertha BSC,Freiburg,2–1
2016-08-28,Bundesliga,Hoffenheim,RB Leipzig,2–2
2016-09-09,Bundesliga,Schalke 04,Bayern Munich,0–2
2016-09-10,Bundesliga,Leverkusen,Hamburger SV,3–1
2016-09-10,Bundesliga,Freiburg,Gladbach,3–1
2016-09-10,Bundesliga,Wolfsburg,Köln,0–0
2016-09-10,Bundesliga,Ingolstadt 04,Hertha BSC,0–2
2016-09-10,Bundesliga,Darmstadt 98,Eint Frankfurt,1–0
2016-09-10,Bundesliga,RB Leipzig,Dortmund,1–0
2016-09-11,Bundesliga,Werder Bremen,Augsburg,1–2
2016-09-11,Bundesliga,Mainz 05,Hoffenheim,4–4
2016-09-16,Bundesliga,Köln,Freiburg,3–0
2016-09-17,Bundesliga,Bayern Munich,Ingolstadt 04,3–1
2016-09-17,Bundesliga,Dortmund,Darmstadt 98,6–0
2016-09-17,Bundesliga,Hamburger SV,RB Leipzig,0–4
2016-09-17,Bundesliga,Eint Frankfurt,Leverkusen,2–1
2016-09-17,Bundesliga,Hoffenheim,Wolfsburg,0–0
2016-09-17,Bundesliga,Gladbach,Werder Bremen,4–1
2016-09-18,Bundesliga,Augsburg,Mainz 05,1–3
2016-09-18,Bundesliga,Hertha BSC,Schalke 04,2–0
2016-09-20,Bundesliga,Darmstadt 98,Hoffenheim,1–1
2016-09-20,Bundesliga,Wolfsburg,Dortmund,1–5
2016-09-20,Bundesliga,Freiburg,Hamburger SV,1–0
2016-09-20,Bundesliga,Ingolstadt 04,Eint Frankfurt,0–2
2016-09-21,Bundesliga,Schalke 04,Köln,1–3
2016-09-21,Bundesliga,Bayern Munich,Hertha BSC,3–0
2016-09-21,Bundesliga,Leverkusen,Augsburg,0–0
2016-09-21,Bundesliga,Werder Bremen,Mainz 05,1–2
2016-09-21,Bundesliga,RB Leipzig,Gladbach,1–1
2016-09-23,Bundesliga,Dortmund,Freiburg,3–1
2016-09-24,Bundesliga,Eint Frankfurt,Hertha BSC,3–3
2016-09-24,Bundesliga,Augsburg,Darmstadt 98,1–0
2016-09-24,Bundesliga,Hamburger SV,Bayern Munich,0–1
2016-09-24,Bundesliga,Gladbach,Ingolstadt 04,2–0
2016-09-24,Bundesliga,Mainz 05,Leverkusen,2–3
2016-09-24,Bundesliga,Werder Bremen,Wolfsburg,2–1
2016-09-25,Bundesliga,Hoffenheim,Schalke 04,2–1
2016-09-25,Bundesliga,Köln,RB Leipzig,1–1
2016-09-30,Bundesliga,RB Leipzig,Augsburg,2–1
2016-10-01,Bundesliga,Bayern Munich,Köln,1–1
2016-10-01,Bundesliga,Ingolstadt 04,Hoffenheim,1–2
2016-10-01,Bundesliga,Hertha BSC,Hamburger SV,2–0
2016-10-01,Bundesliga,Darmstadt 98,Werder Bremen,2–2
2016-10-01,Bundesliga,Freiburg,Eint Frankfurt,1–0
2016-10-01,Bundesliga,Leverkusen,Dortmund,2–0
2016-10-02,Bundesliga,Wolfsburg,Mainz 05,0–0
2016-10-02,Bundesliga,Schalke 04,Gladbach,4–0
2016-10-14,Bundesliga,Dortmund,Hertha BSC,1–1
2016-10-15,Bundesliga,Köln,Ingolstadt 04,2–1
2016-10-15,Bundesliga,Augsburg,Schalke 04,1–1
2016-10-15,Bundesliga,Eint Frankfurt,Bayern Munich,2–2
2016-10-15,Bundesliga,Gladbach,Hamburger SV,0–0
2016-10-15,Bundesliga,Hoffenheim,Freiburg,2–1
2016-10-15,Bundesliga,Werder Bremen,Leverkusen,2–1
2016-10-16,Bundesliga,Mainz 05,Darmstadt 98,2–1
2016-10-16,Bundesliga,Wolfsburg,RB Leipzig,0–1
2016-10-21,Bundesliga,Hamburger SV,Eint Frankfurt,0–3
2016-10-22,Bundesliga,Darmstadt 98,Wolfsburg,3–1
2016-10-22,Bundesliga,Hertha BSC,Köln,2–1
2016-10-22,Bundesliga,Freiburg,Augsburg,2–1
2016-10-22,Bundesliga,Leverkusen,Hoffenheim,0–3
2016-10-22,Bundesliga,Ingolstadt 04,Dortmund,3–3
2016-10-22,Bundesliga,Bayern Munich,Gladbach,2–0
2016-10-23,Bundesliga,RB Leipzig,Werder Bremen,3–1
2016-10-23,Bundesliga,Schalke 04,Mainz 05,3–0
2016-10-28,Bundesliga,Gladbach,Eint Frankfurt,0–0
2016-10-29,Bundesliga,Werder Bremen,Freiburg,1–3
2016-10-29,Bundesliga,Wolfsburg,Leverkusen,1–2
2016-10-29,Bundesliga,Darmstadt 98,RB Leipzig,0–2
2016-10-29,Bundesliga,Augsburg,Bayern Munich,1–3
2016-10-29,Bundesliga,Mainz 05,Ingolstadt 04,2–0
2016-10-29,Bundesliga,Dortmund,Schalke 04,0–0
2016-10-30,Bundesliga,Hoffenheim,Hertha BSC,1–0
2016-10-30,Bundesliga,Köln,Hamburger SV,3–0
2016-11-04,Bundesliga,Hertha BSC,Gladbach,3–0
2016-11-05,Bundesliga,Ingolstadt 04,Augsburg,0–2
2016-11-05,Bundesliga,Freiburg,Wolfsburg,0–3
2016-11-05,Bundesliga,Leverkusen,Darmstadt 98,3–2
2016-11-05,Bundesliga,Bayern Munich,Hoffenheim,1–1
2016-11-05,Bundesliga,Hamburger SV,Dortmund,2–5
2016-11-05,Bundesliga,Eint Frankfurt,Köln,1–0
2016-11-06,Bundesliga,RB Leipzig,Mainz 05,3–1
2016-11-06,Bundesliga,Schalke 04,Werder Bremen,3–1
2016-11-18,Bundesliga,Leverkusen,RB Leipzig,2–3
2016-11-19,Bundesliga,Gladbach,Köln,1–2
2016-11-19,Bundesliga,Augsburg,Hertha BSC,0–0
2016-11-19,Bundesliga,Mainz 05,Freiburg,4–2
2016-11-19,Bundesliga,Wolfsburg,Schalke 04,0–1
2016-11-19,Bundesliga,Darmstadt 98,Ingolstadt 04,0–1
2016-11-19,Bundesliga,Dortmund,Bayern Munich,1–0
2016-11-20,Bundesliga,Hoffenheim,Hamburger SV,2–2
2016-11-20,Bundesliga,Werder Bremen,Eint Frankfurt,1–2
2016-11-25,Bundesliga,Freiburg,RB Leipzig,1–4
2016-11-26,Bundesliga,Eint Frankfurt,Dortmund,2–1
2016-11-26,Bundesliga,Gladbach,Hoffenheim,1–1
2016-11-26,Bundesliga,Köln,Augsburg,0–0
2016-11-26,Bundesliga,Ingolstadt 04,Wolfsburg,1–1
2016-11-26,Bundesliga,Hamburger SV,Werder Bremen,2–2
2016-11-26,Bundesliga,Bayern Munich,Leverkusen,2–1
2016-11-27,Bundesliga,Schalke 04,Darmstadt 98,3–1
2016-11-27,Bundesliga,Hertha BSC,Mainz 05,2–1
2016-12-02,Bundesliga,Mainz 05,Bayern Munich,1–3
2016-12-03,Bundesliga,Werder Bremen,Ingolstadt 04,2–1
2016-12-03,Bundesliga,Dortmund,Gladbach,4–1
2016-12-03,Bundesliga,Wolfsburg,Hertha BSC,2–3
2016-12-03,Bundesliga,Hoffenheim,Köln,4–0
2016-12-03,Bundesliga,Leverkusen,Freiburg,1–1
2016-12-03,Bundesliga,RB Leipzig,Schalke 04,2–1
2016-12-04,Bundesliga,Darmstadt 98,Hamburger SV,0–2
2016-12-04,Bundesliga,Augsburg,Eint Frankfurt,1–1
2016-12-09,Bundesliga,Eint Frankfurt,Hoffenheim,0–0
2016-12-10,Bundesliga,Ingolstadt 04,RB Leipzig,1–0
2016-12-10,Bundesliga,Freiburg,Darmstadt 98,1–0
2016-12-10,Bundesliga,Hamburger SV,Augsburg,1–0
2016-12-10,Bundesliga,Bayern Munich,Wolfsburg,5–0
2016-12-10,Bundesliga,Köln,Dortmund,1–1
2016-12-10,Bundesliga,Hertha BSC,Werder Bremen,0–1
2016-12-11,Bundesliga,Gladbach,Mainz 05,1–0
2016-12-11,Bundesliga,Schalke 04,Leverkusen,0–1
2016-12-16,Bundesliga,Hoffenheim,Dortmund,2–2
2016-12-17,Bundesliga,Mainz 05,Hamburger SV,3–1
2016-12-17,Bundesliga,Augsburg,Gladbach,1–0
2016-12-17,Bundesliga,Schalke 04,Freiburg,1–1
2016-12-17,Bundesliga,Werder Bremen,Köln,1–1
2016-12-17,Bundesliga,RB Leipzig,Hertha BSC,2–0
2016-12-17,Bundesliga,Wolfsburg,Eint Frankfurt,1–0
2016-12-18,Bundesliga,Darmstadt 98,Bayern Munich,0–1
2016-12-18,Bundesliga,Leverkusen,Ingolstadt 04,1–2
2016-12-20,Bundesliga,Gladbach,Wolfsburg,1–2
2016-12-20,Bundesliga,Eint Frankfurt,Mainz 05,3–0
2016-12-20,Bundesliga,Hamburger SV,Schalke 04,2–1
2016-12-20,Bundesliga,Dortmund,Augsburg,1–1
2016-12-21,Bundesliga,Bayern Munich,RB Leipzig,3–0
2016-12-21,Bundesliga,Köln,Leverkusen,1–1
2016-12-21,Bundesliga,Hoffenheim,Werder Bremen,1–1
2016-12-21,Bundesliga,Ingolstadt 04,Freiburg,1–2
2016-12-21,Bundesliga,Hertha BSC,Darmstadt 98,2–0
2017-01-20,Bundesliga,Freiburg,Bayern Munich,1–2
2017-01-21,Bundesliga,Schalke 04,Ingolstadt 04,1–0
2017-01-21,Bundesliga,Werder Bremen,Dortmund,1–2
2017-01-21,Bundesliga,Darmstadt 98,Gladbach,0–0
2017-01-21,Bundesliga,Wolfsburg,Hamburger SV,1–0
2017-01-21,Bundesliga,Augsburg,Hoffenheim,0–2
2017-01-21,Bundesliga,RB Leipzig,Eint Frankfurt,3–0
2017-01-22,Bundesliga,Leverkusen,Hertha BSC,3–1
2017-01-22,Bundesliga,Mainz 05,Köln,0–0
2017-01-27,Bundesliga,Schalke 04,Eint Frankfurt,0–1
2017-01-28,Bundesliga,Darmstadt 98,Köln,1–6
2017-01-28,Bundesliga,Werder Bremen,Bayern Munich,1–2
2017-01-28,Bundesliga,RB Leipzig,Hoffenheim,2–1
2017-01-28,Bundesliga,Ingolstadt 04,Hamburger SV,3–1
2017-01-28,Bundesliga,Wolfsburg,Augsburg,1–2
2017-01-28,Bundesliga,Leverkusen,Gladbach,2–3
2017-01-29,Bundesliga,Freiburg,Hertha BSC,2–1
2017-01-29,Bundesliga,Mainz 05,Dortmund,1–1
2017-02-03,Bundesliga,Hamburger SV,Leverkusen,1–0
2017-02-04,Bundesliga,Köln,Wolfsburg,1–0
2017-02-04,Bundesliga,Bayern Munich,Schalke 04,1–1
2017-02-04,Bundesliga,Hoffenheim,Mainz 05,4–0
2017-02-04,Bundesliga,Hertha BSC,Ingolstadt 04,1–0
2017-02-04,Bundesliga,Gladbach,Freiburg,3–0
2017-02-04,Bundesliga,Dortmund,RB Leipzig,1–0
2017-02-05,Bundesliga,Augsburg,Werder Bremen,3–2
2017-02-05,Bundesliga,Eint Frankfurt,Darmstadt 98,2–0
2017-02-10,Bundesliga,Mainz 05,Augsburg,2–0
2017-02-11,Bundesliga,Darmstadt 98,Dortmund,2–1
2017-02-11,Bundesliga,Ingolstadt 04,Bayern Munich,0–2
2017-02-11,Bundesliga,Leverkusen,Eint Frankfurt,3–0
2017-02-11,Bundesliga,RB Leipzig,Hamburger SV,0–3
2017-02-11,Bundesliga,Werder Bremen,Gladbach,0–1
2017-02-11,Bundesliga,Schalke 04,Hertha BSC,2–0
2017-02-12,Bundesliga,Wolfsburg,Hoffenheim,2–1
2017-02-12,Bundesliga,Freiburg,Köln,2–1
2017-02-17,Bundesliga,Augsburg,Leverkusen,1–3
2017-02-18,Bundesliga,Dortmund,Wolfsburg,3–0
2017-02-18,Bundesliga,Mainz 05,Werder Bremen,0–2
2017-02-18,Bundesliga,Eint Frankfurt,Ingolstadt 04,0–2
2017-02-18,Bundesliga,Hoffenheim,Darmstadt 98,2–0
2017-02-18,Bundesliga,Hertha BSC,Bayern Munich,1–1
2017-02-18,Bundesliga,Hamburger SV,Freiburg,2–2
2017-02-19,Bundesliga,Gladbach,RB Leipzig,1–2
2017-02-19,Bundesliga,Köln,Schalke 04,1–1
2017-02-24,Bundesliga,Wolfsburg,Werder Bremen,1–2
2017-02-25,Bundesliga,Darmstadt 98,Augsburg,1–2
2017-02-25,Bundesliga,RB Leipzig,Köln,3–1
2017-02-25,Bundesliga,Leverkusen,Mainz 05,0–2
2017-02-25,Bundesliga,Freiburg,Dortmund,0–3
2017-02-25,Bundesliga,Bayern Munich,Hamburger SV,8–0
2017-02-25,Bundesliga,Hertha BSC,Eint Frankfurt,2–0
2017-02-26,Bundesliga,Ingolstadt 04,Gladbach,0–2
2017-02-26,Bundesliga,Schalke 04,Hoffenheim,1–1
2017-03-03,Bundesliga,Augsburg,RB Leipzig,2–2
2017-03-04,Bundesliga,Werder Bremen,Darmstadt 98,2–0
2017-03-04,Bundesliga,Dortmund,Leverkusen,6–2
2017-03-04,Bundesliga,Mainz 05,Wolfsburg,1–1
2017-03-04,Bundesliga,Köln,Bayern Munich,0–3
2017-03-04,Bundesliga,Hoffenheim,Ingolstadt 04,5–2
2017-03-04,Bundesliga,Gladbach,Schalke 04,4–2
2017-03-05,Bundesliga,Eint Frankfurt,Freiburg,1–2
2017-03-05,Bundesliga,Hamburger SV,Hertha BSC,1–0
2017-03-10,Bundesliga,Leverkusen,Werder Bremen,1–1
2017-03-11,Bundesliga,Freiburg,Hoffenheim,1–1
2017-03-11,Bundesliga,RB Leipzig,Wolfsburg,0–1
2017-03-11,Bundesliga,Hertha BSC,Dortmund,2–1
2017-03-11,Bundesliga,Bayern Munich,Eint Frankfurt,3–0
2017-03-11,Bundesliga,Darmstadt 98,Mainz 05,2–1
2017-03-11,Bundesliga,Ingolstadt 04,Köln,2–2
2017-03-12,Bundesliga,Schalke 04,Augsburg,3–0
2017-03-12,Bundesliga,Hamburger SV,Gladbach,2–1
2017-03-17,Bundesliga,Dortmund,Ingolstadt 04,1–0
2017-03-18,Bundesliga,Wolfsburg,Darmstadt 98,1–0
2017-03-18,Bundesliga,Werder Bremen,RB Leipzig,3–0
2017-03-18,Bundesliga,Hoffenheim,Leverkusen,1–0
2017-03-18,Bundesliga,Köln,Hertha BSC,4–2
2017-03-18,Bundesliga,Augsburg,Freiburg,1–1
2017-03-18,Bundesliga,Eint Frankfurt,Hamburger SV,0–0
2017-03-19,Bundesliga,Mainz 05,Schalke 04,0–1
2017-03-19,Bundesliga,Gladbach,Bayern Munich,0–1
2017-03-31,Bundesliga,Hertha BSC,Hoffenheim,1–3
2017-04-01,Bundesliga,Hamburger SV,Köln,2–1
2017-04-01,Bundesliga,RB Leipzig,Darmstadt 98,4–0
2017-04-01,Bundesliga,Bayern Munich,Augsburg,6–0
2017-04-01,Bundesliga,Schalke 04,Dortmund,1–1
2017-04-01,Bundesliga,Freiburg,Werder Bremen,2–5
2017-04-01,Bundesliga,Eint Frankfurt,Gladbach,0–0
2017-04-02,Bundesliga,Ingolstadt 04,Mainz 05,2–1
2017-04-02,Bundesliga,Leverkusen,Wolfsburg,3–3
2017-04-04,Bundesliga,Köln,Eint Frankfurt,1–0
2017-04-04,Bundesliga,Hoffenheim,Bayern Munich,1–0
2017-04-04,Bundesliga,Werder Bremen,Schalke 04,3–0
2017-04-04,Bundesliga,Dortmund,Hamburger SV,3–0
2017-04-05,Bundesliga,Darmstadt 98,Leverkusen,0–2
2017-04-05,Bundesliga,Gladbach,Hertha BSC,1–0
2017-04-05,Bundesliga,Wolfsburg,Freiburg,0–1
2017-04-05,Bundesliga,Augsburg,Ingolstadt 04,2–3
2017-04-05,Bundesliga,Mainz 05,RB Leipzig,2–3
2017-04-07,Bundesliga,Eint Frankfurt,Werder Bremen,2–2
2017-04-08,Bundesliga,Schalke 04,Wolfsburg,4–1
2017-04-08,Bundesliga,Köln,Gladbach,2–3
2017-04-08,Bundesliga,Hamburger SV,Hoffenheim,2–1
2017-04-08,Bundesliga,RB Leipzig,Leverkusen,1–0
2017-04-08,Bundesliga,Freiburg,Mainz 05,1–0
2017-04-08,Bundesliga,Bayern Munich,Dortmund,4–1
2017-04-09,Bundesliga,Hertha BSC,Augsburg,2–0
2017-04-09,Bundesliga,Ingolstadt 04,Darmstadt 98,3–2
2017-04-15,Bundesliga,Dortmund,Eint Frankfurt,3–1
2017-04-15,Bundesliga,Mainz 05,Hertha BSC,1–0
2017-04-15,Bundesliga,Augsburg,Köln,2–1
2017-04-15,Bundesliga,Hoffenheim,Gladbach,5–3
2017-04-15,Bundesliga,RB Leipzig,Freiburg,4–0
2017-04-15,Bundesliga,Wolfsburg,Ingolstadt 04,3–0
2017-04-15,Bundesliga,Leverkusen,Bayern Munich,0–0
2017-04-16,Bundesliga,Werder Bremen,Hamburger SV,2–1
2017-04-16,Bundesliga,Darmstadt 98,Schalke 04,2–1
2017-04-21,Bundesliga,Köln,Hoffenheim,1–1
2017-04-22,Bundesliga,Bayern Munich,Mainz 05,2–2
2017-04-22,Bundesliga,Hamburger SV,Darmstadt 98,1–2
2017-04-22,Bundesliga,Eint Frankfurt,Augsburg,3–1
2017-04-22,Bundesliga,Ingolstadt 04,Werder Bremen,2–4
2017-04-22,Bundesliga,Hertha BSC,Wolfsburg,1–0
2017-04-22,Bundesliga,Gladbach,Dortmund,2–3
2017-04-23,Bundesliga,Freiburg,Leverkusen,2–1
2017-04-23,Bundesliga,Schalke 04,RB Leipzig,1–1
2017-04-28,Bundesliga,Leverkusen,Schalke 04,1–4
2017-04-29,Bundesliga,RB Leipzig,Ingolstadt 04,0–0
2017-04-29,Bundesliga,Mainz 05,Gladbach,1–2
2017-04-29,Bundesliga,Werder Bremen,Hertha BSC,2–0
2017-04-29,Bundesliga,Dortmund,Köln,0–0
2017-04-29,Bundesliga,Darmstadt 98,Freiburg,3–0
2017-04-29,Bundesliga,Wolfsburg,Bayern Munich,0–6
2017-04-30,Bundesliga,Augsburg,Hamburger SV,4–0
2017-04-30,Bundesliga,Hoffenheim,Eint Frankfurt,1–0
2017-05-05,Bundesliga,Köln,Werder Bremen,4–3
2017-05-06,Bundesliga,Eint Frankfurt,Wolfsburg,0–2
2017-05-06,Bundesliga,Gladbach,Augsburg,1–1
2017-05-06,Bundesliga,Bayern Munich,Darmstadt 98,1–0
2017-05-06,Bundesliga,Ingolstadt 04,Leverkusen,1–1
2017-05-06,Bundesliga,Dortmund,Hoffenheim,2–1
2017-05-06,Bundesliga,Hertha BSC,RB Leipzig,1–4
2017-05-07,Bundesliga,Hamburger SV,Mainz 05,0–0
2017-05-07,Bundesliga,Freiburg,Schalke 04,2–0
2017-05-13,Bundesliga,Wolfsburg,Gladbach,1–1
2017-05-13,Bundesliga,Darmstadt 98,Hertha BSC,0–2
2017-05-13,Bundesliga,Werder Bremen,Hoffenheim,3–5
2017-05-13,Bundesliga,Leverkusen,Köln,2–2
2017-05-13,Bundesliga,Schalke 04,Hamburger SV,1–1
2017-05-13,Bundesliga,Mainz 05,Eint Frankfurt,4–2
2017-05-13,Bundesliga,Freiburg,Ingolstadt 04,1–1
2017-05-13,Bundesliga,RB Leipzig,Bayern Munich,4–5
2017-05-13,Bundesliga,Augsburg,Dortmund,1–1
2017-05-20,Bundesliga,Dortmund,Werder Bremen,4–3
2017-05-20,Bundesliga,Hamburger SV,Wolfsburg,2–1
2017-05-20,Bundesliga,Ingolstadt 04,Schalke 04,1–1
2017-05-20,Bundesliga,Hertha BSC,Leverkusen,2–6
2017-05-20,Bundesliga,Bayern Munich,Freiburg,4–1
2017-05-20,Bundesliga,Hoffenheim,Augsburg,0–0
2017-05-20,Bundesliga,Köln,Mainz 05,2–0
2017-05-20,Bundesliga,Eint Frankfurt,RB Leipzig,2–2
2017-05-20,Bundesliga,Gladbach,Darmstadt 98,2–2
2017-05-25,Bundesliga,Wolfsburg,Braunschweig,1–0
2017-05-29,Bundesliga,Braunschweig,Wolfsburg,0–1
2017-08-18,Bundesliga,Bayern Munich,Leverkusen,3–1
2017-08-19,Bundesliga,Hertha BSC,Stuttgart,2–0
2017-08-19,Bundesliga,Mainz 05,Hannover 96,0–1
2017-08-19,Bundesliga,Wolfsburg,Dortmund,0–3
2017-08-19,Bundesliga,Hoffenheim,Werder Bremen,1–0
2017-08-19,Bundesliga,Hamburger SV,Augsburg,1–0
2017-08-19,Bundesliga,Schalke 04,RB Leipzig,2–0
2017-08-20,Bundesliga,Freiburg,Eint Frankfurt,0–0
2017-08-20,Bundesliga,Gladbach,Köln,1–0
2017-08-25,Bundesliga,Köln,Hamburger SV,1–3
2017-08-26,Bundesliga,Eint Frankfurt,Wolfsburg,0–1
2017-08-26,Bundesliga,Augsburg,Gladbach,2–2
2017-08-26,Bundesliga,Stuttgart,Mainz 05,1–0
2017-08-26,Bundesliga,Leverkusen,Hoffenheim,2–2
2017-08-26,Bundesliga,Werder Bremen,Bayern Munich,0–2
2017-08-26,Bundesliga,Dortmund,Hertha BSC,2–0
2017-08-27,Bundesliga,RB Leipzig,Freiburg,4–1
2017-08-27,Bundesliga,Hannover 96,Schalke 04,1–0
2017-09-08,Bundesliga,Hamburger SV,RB Leipzig,0–2
2017-09-09,Bundesliga,Wolfsburg,Hannover 96,1–1
2017-09-09,Bundesliga,Mainz 05,Leverkusen,3–1
2017-09-09,Bundesliga,Augsburg,Köln,3–0
2017-09-09,Bundesliga,Gladbach,Eint Frankfurt,0–1
2017-09-09,Bundesliga,Freiburg,Dortmund,0–0
2017-09-09,Bundesliga,Hoffenheim,Bayern Munich,2–0
2017-09-10,Bundesliga,Hertha BSC,Werder Bremen,1–1
2017-09-10,Bundesliga,Schalke 04,Stuttgart,3–1
2017-09-15,Bundesliga,Hannover 96,Hamburger SV,2–0
2017-09-16,Bundesliga,Stuttgart,Wolfsburg,1–0
2017-09-16,Bundesliga,Bayern Munich,Mainz 05,4–0
2017-09-16,Bundesliga,Eint Frankfurt,Augsburg,1–2
2017-09-16,Bundesliga,Werder Bremen,Schalke 04,1–2
2017-09-16,Bundesliga,RB Leipzig,Gladbach,2–2
2017-09-17,Bundesliga,Hoffenheim,Hertha BSC,1–1
2017-09-17,Bundesliga,Leverkusen,Freiburg,4–0
2017-09-17,Bundesliga,Dortmund,Köln,5–0
2017-09-19,Bundesliga,Gladbach,Stuttgart,2–0
2017-09-19,Bundesliga,Schalke 04,Bayern Munich,0–3
2017-09-19,Bundesliga,Augsburg,RB Leipzig,1–0
2017-09-19,Bundesliga,Wolfsburg,Werder Bremen,1–1
2017-09-20,Bundesliga,Köln,Eint Frankfurt,0–1
2017-09-20,Bundesliga,Freiburg,Hannover 96,1–1
2017-09-20,Bundesliga,Hamburger SV,Dortmund,0–3
2017-09-20,Bundesliga,Mainz 05,Hoffenheim,2–3
2017-09-20,Bundesliga,Hertha BSC,Leverkusen,2–1
2017-09-22,Bundesliga,Bayern Munich,Wolfsburg,2–2
2017-09-23,Bundesliga,Werder Bremen,Freiburg,0–0
2017-09-23,Bundesliga,Hoffenheim,Schalke 04,2–0
2017-09-23,Bundesliga,Mainz 05,Hertha BSC,1–0
2017-09-23,Bundesliga,Stuttgart,Augsburg,0–0
2017-09-23,Bundesliga,RB Leipzig,Eint Frankfurt,2–1
2017-09-23,Bundesliga,Dortmund,Gladbach,6–1
2017-09-24,Bundesliga,Hannover 96,Köln,0–0
2017-09-24,Bundesliga,Leverkusen,Hamburger SV,3–0
2017-09-29,Bundesliga,Schalke 04,Leverkusen,1–1
2017-09-30,Bundesliga,Wolfsburg,Mainz 05,1–1
2017-09-30,Bundesliga,Gladbach,Hannover 96,2–1
2017-09-30,Bundesliga,Augsburg,Dortmund,1–2
2017-09-30,Bundesliga,Eint Frankfurt,Stuttgart,2–1
2017-09-30,Bundesliga,Hamburger SV,Werder Bremen,0–0
2017-10-01,Bundesliga,Freiburg,Hoffenheim,3–2
2017-10-01,Bundesliga,Hertha BSC,Bayern Munich,2–2
2017-10-01,Bundesliga,Köln,RB Leipzig,1–2
2017-10-13,Bundesliga,Stuttgart,Köln,2–1
2017-10-14,Bundesliga,Bayern Munich,Freiburg,5–0
2017-10-14,Bundesliga,Hertha BSC,Schalke 04,0–2
2017-10-14,Bundesliga,Hannover 96,Eint Frankfurt,1–2
2017-10-14,Bundesliga,Hoffenheim,Augsburg,2–2
2017-10-14,Bundesliga,Mainz 05,Hamburger SV,3–2
2017-10-14,Bundesliga,Dortmund,RB Leipzig,2–3
2017-10-15,Bundesliga,Leverkusen,Wolfsburg,2–2
2017-10-15,Bundesliga,Werder Bremen,Gladbach,0–2
2017-10-20,Bundesliga,Schalke 04,Mainz 05,2–0
2017-10-21,Bundesliga,Eint Frankfurt,Dortmund,2–2
2017-10-21,Bundesliga,Augsburg,Hannover 96,1–2
2017-10-21,Bundesliga,RB Leipzig,Stuttgart,1–0
2017-10-21,Bundesliga,Gladbach,Leverkusen,1–5
2017-10-21,Bundesliga,Hamburger SV,Bayern Munich,0–1
2017-10-22,Bundesliga,Köln,Werder Bremen,0–0
2017-10-22,Bundesliga,Freiburg,Hertha BSC,1–1
2017-10-22,Bundesliga,Wolfsburg,Hoffenheim,1–1
2017-10-27,Bundesliga,Mainz 05,Eint Frankfurt,1–1
2017-10-28,Bundesliga,Hertha BSC,Hamburger SV,2–1
2017-10-28,Bundesliga,Schalke 04,Wolfsburg,1–1
2017-10-28,Bundesliga,Hoffenheim,Gladbach,1–3
2017-10-28,Bundesliga,Hannover 96,Dortmund,4–2
2017-10-28,Bundesliga,Leverkusen,Köln,2–1
2017-10-28,Bundesliga,Bayern Munich,RB Leipzig,2–0
2017-10-29,Bundesliga,Werder Bremen,Augsburg,0–3
2017-10-29,Bundesliga,Stuttgart,Freiburg,3–0
2017-11-03,Bundesliga,Eint Frankfurt,Werder Bremen,2–1
2017-11-04,Bundesliga,Augsburg,Leverkusen,1–1
